competition_id,date,name
7,2014-08-23,2014 Alaska State Fair
12,2014-06-14,2014 USAPL Seattle Summer Classic
16,2014-08-23,2014 USAPL Bench Nationals
18,2014-08-16,NE USAPL Patriot Open
334,2014-02-15,2014 South Dakota High School Qualifier
335,2014-03-28,2014 HS Nationals-JV
336,2014-03-28,2014 HS Nationals-varsity
337,2014-03-09,2014 Last Chance Qualifier
338,2014-02-01,2014 MN State Meet & Midwest Open Championships
339,2014-05-17,2014 Pennsylvania State Powerlifting Championships
340,2014-03-14,2014 South Dakota State Bench Press & Powerlifting Championships
341,2014-01-26,2014 USA Powerlifting Winter Open / NE Regional / Raw Collegiate PL/BP/DL Championships -
342,2014-02-22,2014 USAPL Aggie Showdown
343,2014-02-15,2014 USAPL California State Championships
344,2014-04-11,2014 USAPL Collegiate Nationals
345,2014-02-01,2014 USAPL RMLC Championships
346,2014-02-22,2014 Whitehall USAPL High School Meet
347,2014-03-08,2014 Wisconsin High School State Championships
348,2014-03-08,2014 WOODWARD ACADEMY INVITATIONAL
349,2014-03-15,32nd Annual USAPL Florida State Powerlifting Championships
350,2014-03-09,4th Annual Ryan Moore New England High School Championships
351,2014-02-22,Albany Strength USAPL POWERLIFTING CHAMPIONSHIP
352,2014-02-28,Arnold
353,2014-02-28,Arnold - GNC Pro Deadlift
354,2014-02-28,Arnold - Ohio Invitational Ironman
355,2014-02-28,Arnold - Titan Pro Bench
356,2014-02-28,Arnold 2014-Pro Equipped
357,2014-02-28,Arnold 2014-Raw Challenge
358,2014-03-22,CAJUN PRIDE
359,2014-03-08,Covington Qualifier
360,2014-02-08,Elite Sports & Fitness High School PL Open
361,2014-03-09,Gulf Coast Championships
362,2014-02-21,LaTech Collegiate Qualifer
363,2014-01-18,LOUISIANA STATE POWERLIFTING CHAMPIONSHIP
364,2014-02-07,Lutcher High School Nationals Qualifier
365,2014-01-11,New England Open
366,2014-02-15,Northeast Collegiate Conference Championship
367,2014-01-19,Northeast Iron Beast Winter Classic
368,2014-02-01,Rocky Mountain Pro Bench
369,2014-02-28,Arnold - SSP  Nutrition Pro Raw Benchpress -
370,2014-01-20,St. John's Classic
371,2014-03-15,The Brother Bennett Memorial Powerlifting Meet
372,2014-03-08,The Guerilla Fitness Raw Nationals Qualifier
